id,left,top,right,bottom
134313,627340.000000000000000,8209810.000000000000000,627440.000000000000000,8209710.000000000000000
134312,627340.000000000000000,8209910.000000000000000,627440.000000000000000,8209810.000000000000000
134314,627340.000000000000000,8209710.000000000000000,627440.000000000000000,8209610.000000000000000
36263,609640.000000000000000,8226710.000000000000000,609740.000000000000000,8226610.000000000000000
36262,609640.000000000000000,8226810.000000000000000,609740.000000000000000,8226710.000000000000000
36265,609640.000000000000000,8226510.000000000000000,609740.000000000000000,8226410.000000000000000
36264,609640.000000000000000,8226610.000000000000000,609740.000000000000000,8226510.000000000000000
128033,626240.000000000000000,8229510.000000000000000,626340.000000000000000,8229410.000000000000000
128032,626240.000000000000000,8229610.000000000000000,626340.000000000000000,8229510.000000000000000
146597,629640.000000000000000,8253310.000000000000000,629740.000000000000000,8253210.000000000000000
128035,626240.000000000000000,8229310.000000000000000,626340.000000000000000,8229210.000000000000000
146596,629640.000000000000000,8253410.000000000000000,629740.000000000000000,8253310.000000000000000
128034,626240.000000000000000,8229410.000000000000000,626340.000000000000000,8229310.000000000000000
146599,629640.000000000000000,8253110.000000000000000,629740.000000000000000,8253010.000000000000000
128037,626240.000000000000000,8229110.000000000000000,626340.000000000000000,8229010.000000000000000
146598,629640.000000000000000,8253210.000000000000000,629740.000000000000000,8253110.000000000000000
128036,626240.000000000000000,8229210.000000000000000,626340.000000000000000,8229110.000000000000000
146601,629640.000000000000000,8252910.000000000000000,629740.000000000000000,8252810.000000000000000
146600,629640.000000000000000,8253010.000000000000000,629740.000000000000000,8252910.000000000000000
56727,613340.000000000000000,8226410.000000000000000,613440.000000000000000,8226310.000000000000000
128038,626240.000000000000000,8229010.000000000000000,626340.000000000000000,8228910.000000000000000
146603,629640.000000000000000,8252710.000000000000000,629740.000000000000000,8252610.000000000000000
56726,613340.000000000000000,8226510.000000000000000,613440.000000000000000,8226410.000000000000000
146602,629640.000000000000000,8252810.000000000000000,629740.000000000000000,8252710.000000000000000
146604,629640.000000000000000,8252610.000000000000000,629740.000000000000000,8252510.000000000000000
71143,615940.000000000000000,8222610.000000000000000,616040.000000000000000,8222510.000000000000000
146607,629640.000000000000000,8252310.000000000000000,629740.000000000000000,8252210.000000000000000
146606,629640.000000000000000,8252410.000000000000000,629740.000000000000000,8252310.000000000000000
71145,615940.000000000000000,8222410.000000000000000,616040.000000000000000,8222310.000000000000000
27939,608140.000000000000000,8229610.000000000000000,608240.000000000000000,8229510.000000000000000
146609,629640.000000000000000,8252110.000000000000000,629740.000000000000000,8252010.000000000000000
71144,615940.000000000000000,8222510.000000000000000,616040.000000000000000,8222410.000000000000000
146608,629640.000000000000000,8252210.000000000000000,629740.000000000000000,8252110.000000000000000
71147,615940.000000000000000,8222210.000000000000000,616040.000000000000000,8222110.000000000000000
27941,608140.000000000000000,8229410.000000000000000,608240.000000000000000,8229310.000000000000000
